City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,el bauga,18.262,33.9081,32.96,12,26,6.77,SD,1687905362
1,port-aux-francais,-49.35,70.2167,2.6,80,93,8.97,TF,1687905135
2,blackmans bay,-43.0167,147.3167,6.07,80,59,4.25,AU,1687905363
3,machico,32.7,-16.7667,28.4,24,0,6.17,PT,1687905363
4,adamstown,-25.066,-130.1015,21.06,74,89,12.15,PN,1687905137
5,grytviken,-54.2811,-36.5092,-5.63,76,99,4.21,GS,1687905147
6,imperatriz,-5.5264,-47.4917,27.24,48,70,1.55,BR,1687905249
7,zheleznodorozhnyy,55.7503,38.0042,16.23,86,100,1.04,RU,1687905364
8,colonia,50.9333,6.95,18.66,72,100,0.51,DE,1687905364
9,waitangi,-43.9535,-176.5597,12.68,92,100,5.36,NZ,1687905135
10,tuy hoa,13.0833,109.3,25.48,89,37,1.61,VN,1687905364
11,lukolela,-1.0605,17.1821,23.16,79,100,0.95,CD,1687905365
12,port mathurin,-19.6833,63.4167,22.38,58,71,2.97,MU,1687905135
13,yellowknife,62.456,-114.3525,24.29,41,20,4.63,CA,1687905365
14,edinburgh of the seven seas,-37.0676,-12.3116,12.32,71,50,1.08,SH,1687905365
15,zharkent,44.1628,80.0,19.77,45,36,1.84,KZ,1687905365
16,egilsstadir,65.2653,-14.3948,8.95,87,100,6.69,IS,1687905365
17,chazuta,-6.5742,-76.1367,30.47,77,87,0.53,PE,1687905366
18,nikolayevsk-on-amure,53.1406,140.73,21.2,56,6,1.42,RU,1687905366
19,alice springs,-23.7,133.8833,12.75,100,100,0.0,AU,1687905366
20,keflavik,64.0049,-22.5624,11.24,87,100,7.2,IS,1687905366
21,konarka,19.9,86.1167,28.22,77,99,8.3,IN,1687905366
22,hithadhoo,-0.6,73.0833,27.83,70,41,2.15,MV,1687905168
23,puerto ayora,-0.7393,-90.3518,28.98,85,31,2.68,EC,1687905367
24,barra do corda,-5.5,-45.25,28.23,47,60,1.93,BR,1687905367
25,macae,-22.3708,-41.7869,22.86,83,0,3.09,BR,1687905367
26,anadyr,64.75,177.4833,8.28,93,75,7.0,RU,1687905367
27,lunglei,22.8833,92.7333,19.23,97,92,1.09,IN,1687905367
28,bethel,41.3712,-73.414,25.2,78,75,4.63,US,1687905158
29,ribeira grande,38.5167,-28.7,20.99,85,16,7.15,PT,1687905160
